# MB_2m_NZGD2000_NZTM_OD - Mean
# Coordinate Projection: NZTM
# Attribute Unit: m
# Z-axis convention: Up is positive
# Distance Unit: m
# Start Location: 1368799.784 4872272.352
# End Location: 1382569.992 4858460.308
# Format: Distance    Attribute
        0.00        90.40
        5.00        90.55
       10.01        90.53
       15.01        90.31
       20.01        90.25
       25.01        90.20
       30.02        90.25
       35.02        90.18
       40.02        90.21
       45.03        90.00
       50.03        90.06
       55.03        89.78
       60.04        89.82
       65.04        89.71
       70.04        89.47
       75.04        89.36
       80.05        89.30
       85.05        89.31
       90.05        89.20
       95.06        89.09
      100.06        88.91
      105.06        88.85
      108.36        88.82
      113.36        88.71
      118.37        88.61
      123.37        88.64
      128.37        88.62
      133.38        88.18
      138.38        88.19
      143.38        88.48
      148.38        89.12
      153.39        89.30
      158.39        89.20
      163.39        88.77
      168.40        88.55
      173.40        88.60
      178.40        88.62
      183.41        88.56
      188.41        88.53
      193.41        88.48
      198.41        88.48
      203.42        88.40
      208.42        88.36
      213.42        88.35
      218.43        88.31
      223.43        88.27
      226.85        88.24
      231.85        88.22
      236.85        88.17
      241.86        88.15
      246.86        88.14
      251.86        88.11
      256.87        88.06
      261.87        88.05
      266.87        88.01
      271.87        87.97
      276.88        87.94
      281.88        87.94
      286.88        87.93
      291.89        87.86
      296.89        87.83
      301.89        87.78
      306.90        87.76
      311.90        87.75
      316.90        87.72
      321.90        87.66
      326.91        87.67
      331.91        87.63
      336.91        87.58
      341.92        87.55
      346.92        87.53
      351.92        87.51
      356.92        87.46
      361.93        87.41
      366.93        87.38
      371.93        87.38
      376.94        87.35
      381.94        87.30
      386.94        87.25
      391.94        87.22
      396.95        87.20
      401.95        87.17
      406.95        87.13
      411.96        87.11
      416.96        87.06
      421.96        87.02
      426.97        87.01
      429.61        86.98
      434.61        86.95
      439.61        86.92
      444.62        86.87
      449.62        86.85
      454.62        86.82
      459.63        86.79
      464.63        86.75
      469.63        86.72
      474.63        86.69
      479.64        86.64
      484.64        86.62
      489.64        86.57
      494.65        86.55
      499.65        86.51
      504.65        86.47
      509.66        86.45
      514.66        86.41
      519.66        86.39
      524.66        86.36
      529.67        86.31
      534.67        86.26
      539.67        86.23
      544.68        86.22
      549.68        86.17
      554.68        86.12
      559.68        86.10
      564.69        86.09
      569.69        86.04
      574.69        86.01
      579.70        85.98
      584.70        85.93
      589.70        85.90
      594.70        85.88
      599.71        85.84
      604.71        85.81
      609.71        85.80
      614.72        85.75
      619.72        85.71
      624.72        85.66
      629.73        85.64
      634.73        85.62
      639.73        85.55
      644.73        85.56
      649.74        85.51
      654.74        85.47
      659.74        85.43
      664.75        85.42
      669.75        85.38
      674.75        85.33
      679.75        85.32
      684.76        85.29
      689.76        85.24
      694.76        85.21
      699.77        85.18
      704.77        85.15
      709.77        85.09
      714.77        85.08
      719.78        85.06
      724.78        85.03
      729.78        84.96
      734.79        84.94
      739.79        84.91
      744.79        84.89
      749.80        84.87
      754.80        84.81
      759.80        84.79
      764.80        84.76
      769.81        84.73
      774.81        84.73
      779.81        84.67
      784.82        84.62
      789.82        84.59
      794.82        84.57
      799.82        84.53
      804.83        84.53
      809.83        84.51
      814.83        84.45
      819.84        84.39
      824.84        84.38
      829.84        84.34
      834.84        84.33
      839.85        84.29
      844.85        84.27
      849.85        84.22
      854.86        84.19
      859.86        84.16
      864.86        84.12
      869.86        84.11
      874.87        84.07
      879.87        84.03
      884.87        84.00
      889.88        83.97
      894.88        83.95
      899.88        83.89
      904.89        83.86
      909.89        83.86
      914.89        83.85
      919.89        83.79
      924.90        83.77
      929.90        83.73
      934.90        83.71
      939.91        83.68
      944.91        83.65
      949.91        83.62
      954.91        83.59
      959.92        83.57
      964.92        83.55
      969.92        83.51
      974.93        83.48
      979.93        83.45
      984.93        83.41
      989.93        83.40
      994.94        83.39
      999.94        83.36
     1004.94        83.32
     1009.95        83.29
     1014.95        83.24
     1019.95        83.21
     1024.96        83.20
     1029.96        83.18
     1034.96        83.15
     1039.96        83.10
     1044.97        83.08
     1049.97        83.05
     1054.97        83.02
     1059.98        83.01
     1064.98        82.96
     1069.98        82.95
     1074.98        82.92
     1079.99        82.89
     1084.99        82.84
     1089.99        82.85
     1095.00        82.83
     1100.00        82.78
     1105.00        82.74
     1110.00        82.72
     1115.01        82.70
     1120.01        82.67
     1125.01        82.66
     1130.02        82.63
     1135.02        82.62
     1140.02        82.60
     1145.02        82.54
     1150.03        82.52
     1155.03        82.48
     1160.03        82.48
     1165.04        82.47
     1170.04        82.44
     1175.04        82.40
     1180.05        82.37
     1185.05        82.37
     1190.05        82.33
     1195.05        82.31
     1200.06        82.30
     1205.06        82.26
     1210.06        82.21
     1215.07        82.19
     1220.07        82.16
     1225.07        82.15
     1230.07        82.13
     1235.08        82.12
     1240.08        82.10
     1245.08        82.05
     1250.09        82.02
     1255.09        82.00
     1260.09        81.98
     1265.09        81.97
     1270.10        81.94
     1275.10        81.92
     1280.10        81.86
     1285.11        81.88
     1290.11        81.85
     1295.11        81.82
     1300.11        81.81
     1305.12        81.78
     1310.12        81.75
     1315.12        81.73
     1320.13        81.69
     1325.13        81.69
     1330.13        81.67
     1335.14        81.63
     1340.14        81.62
     1345.14        81.61
     1350.14        81.57
     1355.15        81.54
     1360.15        81.52
     1365.15        81.51
     1370.16        81.47
     1375.16        81.45
     1380.16        81.42
     1385.16        81.41
     1390.17        81.39
     1395.17        81.37
     1400.17        81.35
     1405.18        81.31
     1410.18        81.27
     1415.18        81.28
     1420.18        81.24
     1425.19        81.22
     1430.19        81.20
     1435.19        81.20
     1440.20        81.16
     1445.20        81.15
     1450.20        81.13
     1455.20        81.09
     1460.21        81.07
     1465.21        81.06
     1470.21        81.04
     1475.22        81.02
     1480.22        81.00
     1485.22        80.98
     1490.23        80.95
     1495.23        80.96
     1500.23        80.93
     1505.23        80.90
     1509.44        80.89
     1514.44        80.88
     1519.45        80.86
     1524.45        80.84
     1529.45        80.81
     1534.46        80.79
     1539.46        80.77
     1544.46        80.78
     1549.47        80.75
     1554.47        80.74
     1559.47        80.71
     1564.47        80.68
     1569.48        80.67
     1574.48        80.66
     1579.48        80.65
     1584.49        80.62
     1589.49        80.60
     1594.49        80.57
     1599.49        80.57
     1604.50        80.54
     1609.50        80.51
     1614.50        80.51
     1619.51        80.50
     1624.51        80.50
     1629.51        80.46
     1634.51        80.42
     1639.52        80.43
     1644.52        80.43
     1649.52        80.39
     1654.53        80.37
     1659.53        80.35
     1664.53        80.32
     1669.53        80.33
     1674.54        80.33
     1679.54        80.30
     1684.54        80.26
     1689.55        80.23
     1694.55        80.22
     1699.55        80.21
     1704.56        80.23
     1709.56        80.20
     1714.56        80.16
     1719.56        80.15
     1724.57        80.13
     1729.57        80.11
     1734.57        80.08
