Date (GMT)	Time(GMT)	Height(m)	
-------------------------------
2013/02/23	00:00	1.76
2013/02/23	00:10	1.79
2013/02/23	00:20	1.81
2013/02/23	00:30	1.83
2013/02/23	00:40	1.84
2013/02/23	00:50	1.85
2013/02/23	01:00	1.86
2013/02/23	01:10	1.85
2013/02/23	01:20	1.85
2013/02/23	01:30	1.84
2013/02/23	01:40	1.82
2013/02/23	01:50	1.80
2013/02/23	02:00	1.77
2013/02/23	02:10	1.74
2013/02/23	02:20	1.71
2013/02/23	02:30	1.67
2013/02/23	02:40	1.63
2013/02/23	02:50	1.58
2013/02/23	03:00	1.53
2013/02/23	03:10	1.48
2013/02/23	03:20	1.43
2013/02/23	03:30	1.37
2013/02/23	03:40	1.31
2013/02/23	03:50	1.26
2013/02/23	04:00	1.20
2013/02/23	04:10	1.14
2013/02/23	04:20	1.08
2013/02/23	04:30	1.02
2013/02/23	04:40	0.96
2013/02/23	04:50	0.90
2013/02/23	05:00	0.85
2013/02/23	05:10	0.79
2013/02/23	05:20	0.74
2013/02/23	05:30	0.69
2013/02/23	05:40	0.65
2013/02/23	05:50	0.61
2013/02/23	06:00	0.57
2013/02/23	06:10	0.54
2013/02/23	06:20	0.51
2013/02/23	06:30	0.49
2013/02/23	06:40	0.47
2013/02/23	06:50	0.46
2013/02/23	07:00	0.45
2013/02/23	07:10	0.45
2013/02/23	07:20	0.45
2013/02/23	07:30	0.46
2013/02/23	07:40	0.47
2013/02/23	07:50	0.49
2013/02/23	08:00	0.51
2013/02/23	08:10	0.54
2013/02/23	08:20	0.57
2013/02/23	08:30	0.61
2013/02/23	08:40	0.65
2013/02/23	08:50	0.70
2013/02/23	09:00	0.75
2013/02/23	09:10	0.80
2013/02/23	09:20	0.85
2013/02/23	09:30	0.91
2013/02/23	09:40	0.97
2013/02/23	09:50	1.03
2013/02/23	10:00	1.10
2013/02/23	10:10	1.16
2013/02/23	10:20	1.22
2013/02/23	10:30	1.29
2013/02/23	10:40	1.35
2013/02/23	10:50	1.42
2013/02/23	11:00	1.48
2013/02/23	11:10	1.54
2013/02/23	11:20	1.59
2013/02/23	11:30	1.65
2013/02/23	11:40	1.70
2013/02/23	11:50	1.75
2013/02/23	12:00	1.79
2013/02/23	12:10	1.83
2013/02/23	12:20	1.87
2013/02/23	12:30	1.90
2013/02/23	12:40	1.93
2013/02/23	12:50	1.95
2013/02/23	13:00	1.97
2013/02/23	13:10	1.98
2013/02/23	13:20	1.99
2013/02/23	13:30	1.99
2013/02/23	13:40	1.98
2013/02/23	13:50	1.97
2013/02/23	14:00	1.96
2013/02/23	14:10	1.93
2013/02/23	14:20	1.91
2013/02/23	14:30	1.88
2013/02/23	14:40	1.84
2013/02/23	14:50	1.80
2013/02/23	15:00	1.76
2013/02/23	15:10	1.71
2013/02/23	15:20	1.66
2013/02/23	15:30	1.61
2013/02/23	15:40	1.55
2013/02/23	15:50	1.49
2013/02/23	16:00	1.43
2013/02/23	16:10	1.37
2013/02/23	16:20	1.30
2013/02/23	16:30	1.24
2013/02/23	16:40	1.18
2013/02/23	16:50	1.11
2013/02/23	17:00	1.05
2013/02/23	17:10	0.99
2013/02/23	17:20	0.93
2013/02/23	17:30	0.87
2013/02/23	17:40	0.82
2013/02/23	17:50	0.76
2013/02/23	18:00	0.71
2013/02/23	18:10	0.67
2013/02/23	18:20	0.63
2013/02/23	18:30	0.59
2013/02/23	18:40	0.56
2013/02/23	18:50	0.53
2013/02/23	19:00	0.51
2013/02/23	19:10	0.49
2013/02/23	19:20	0.48
2013/02/23	19:30	0.47
2013/02/23	19:40	0.47
2013/02/23	19:50	0.48
2013/02/23	20:00	0.49
2013/02/23	20:10	0.50
2013/02/23	20:20	0.52
2013/02/23	20:30	0.55
2013/02/23	20:40	0.58
2013/02/23	20:50	0.61
2013/02/23	21:00	0.65
2013/02/23	21:10	0.69
2013/02/23	21:20	0.74
2013/02/23	21:30	0.79
2013/02/23	21:40	0.84
2013/02/23	21:50	0.89
2013/02/23	22:00	0.95
2013/02/23	22:10	1.01
2013/02/23	22:20	1.07
2013/02/23	22:30	1.13
2013/02/23	22:40	1.20
2013/02/23	22:50	1.26
2013/02/23	23:00	1.32
2013/02/23	23:10	1.38
2013/02/23	23:20	1.44
2013/02/23	23:30	1.50
2013/02/23	23:40	1.55
2013/02/23	23:50	1.61
2013/02/24	00:00	1.65
2013/02/24	00:10	1.70
2013/02/24	00:20	1.74
2013/02/24	00:30	1.78
2013/02/24	00:40	1.81
2013/02/24	00:50	1.84
2013/02/24	01:00	1.87
2013/02/24	01:10	1.89
2013/02/24	01:20	1.90
2013/02/24	01:30	1.91
2013/02/24	01:40	1.91
