XS_ID,Point_ID,Running Distance (m),Offset,Reduced_Level,Level_Datum,G_Northing,G_Easting,G_Datum,Circuit,Code
MB1,1000,2.688,0,101.584,Otago Vertical Datum,4860507.491,1352098.064,NZGD2000,NZTM,Shingle
MB1,1001,5.942,-0.022,102.215,Otago Vertical Datum,4860505.172,1352100.346,NZGD2000,NZTM,Road Edge
MB1,1002,9.52,-0.016,102.322,Otago Vertical Datum,4860502.599,1352102.834,NZGD2000,NZTM,Road Centreline
MB1,1003,12.989,0,102.211,Otago Vertical Datum,4860500.099,1352105.239,NZGD2000,NZTM,Road Edge
MB1,1004,16.319,-0.021,101.625,Otago Vertical Datum,4860497.724,1352107.572,NZGD2000,NZTM,Shingle
MB1,1005,19.595,0.019,100.361,Otago Vertical Datum,4860495.346,1352109.825,NZGD2000,NZTM,Bottom of Bank
MB1,1006,21.392,-0.021,101.41,Otago Vertical Datum,4860494.085,1352111.106,NZGD2000,NZTM,Fence
MB1,1007,31.347,0,101.211,Otago Vertical Datum,4860486.926,1352118.024,NZGD2000,NZTM,Spot Height
MB1,1008,43.383,-0.023,101.055,Otago Vertical Datum,4860478.305,1352126.423,NZGD2000,NZTM,Spot Height
MB1,1009,57.032,0.021,100.943,Otago Vertical Datum,4860468.48,1352135.899,NZGD2000,NZTM,Spot Height
MB1,1010,59.893,-0.017,100.9,Otago Vertical Datum,4860466.453,1352137.918,NZGD2000,NZTM,Fence
MB1,1011,73.76,-0.034,100.91,Otago Vertical Datum,4860456.515,1352147.588,NZGD2000,NZTM,Spot Height
MB1,1012,88.85,-0.022,100.909,Otago Vertical Datum,4860445.678,1352158.09,NZGD2000,NZTM,Spot Height
MB1,1013,102.689,0.017,101.017,Otago Vertical Datum,4860435.721,1352167.7,NZGD2000,NZTM,Spot Height
MB1,1014,113.879,-0.006,100.775,Otago Vertical Datum,4860427.706,1352175.51,NZGD2000,NZTM,Fence
MB1,1015,117.217,0,101.288,Otago Vertical Datum,4860425.307,1352177.831,NZGD2000,NZTM,Bottom of Bank
MB1,1016,120.378,0.021,102.736,Otago Vertical Datum,4860423.024,1352180.017,NZGD2000,NZTM,Top of Bank
MB1,1017,122.378,0.035,102.742,Otago Vertical Datum,4860421.58,1352181.4,NZGD2000,NZTM,Top of Bank
MB1,1018,126.593,-0.023,100.797,Otago Vertical Datum,4860418.595,1352184.377,NZGD2000,NZTM,Mud and Sand
MB1,1019,127.71,-0.005,99.319,Otago Vertical Datum,4860417.781,1352185.142,NZGD2000,NZTM,Mud and Sand
MB1,1020,155.574,0.019,99.32,Otago Vertical Datum,4860397.769,1352204.532,NZGD2000,NZTM,Mud and Sand
MB1,1021,156.91,-0.019,100.615,Otago Vertical Datum,4860396.838,1352205.489,NZGD2000,NZTM,Mud and Sand
MB1,1022,161.789,-0.017,100.815,Otago Vertical Datum,4860393.335,1352208.886,NZGD2000,NZTM,Mud and Sand
MB1,1023,171.413,0.018,101.063,Otago Vertical Datum,4860386.405,1352215.564,NZGD2000,NZTM,Mud and Sand
MB1,1024,179.833,-0.017,101.029,Otago Vertical Datum,4860380.387,1352221.453,NZGD2000,NZTM,Mud and Sand
MB1,1025,188.622,0,101.004,Otago Vertical Datum,4860374.068,1352227.562,NZGD2000,NZTM,Mud and Sand
MB1,1026,199.15,0.02,100.952,Otago Vertical Datum,4860366.499,1352234.88,NZGD2000,NZTM,Mud and Sand
MB1,1027,210.355,0.016,100.995,Otago Vertical Datum,4860358.462,1352242.687,NZGD2000,NZTM,Mud and Sand
MB1,1028,219.613,0,100.857,Otago Vertical Datum,4860351.83,1352249.146,NZGD2000,NZTM,Mud and Sand
MB1,1029,227.726,0.014,100.758,Otago Vertical Datum,4860345.998,1352254.787,NZGD2000,NZTM,Mud and Sand
MB1,1030,233.894,-0.019,100.899,Otago Vertical Datum,4860341.596,1352259.106,NZGD2000,NZTM,Mud and Sand
MB1,1031,244.916,0.017,100.837,Otago Vertical Datum,4860333.661,1352266.758,NZGD2000,NZTM,Mud and Sand
MB1,1032,256.071,-0.015,100.762,Otago Vertical Datum,4860325.678,1352274.549,NZGD2000,NZTM,Mud and Sand
MB1,1033,257.207,-0.024,100.05,Otago Vertical Datum,4860324.869,1352275.347,NZGD2000,NZTM,Mud and Sand
MB1,1034,258.292,0,100.915,Otago Vertical Datum,4860324.074,1352276.085,NZGD2000,NZTM,Mud and Sand
MB1,1035,260.71,0.017,100.916,Otago Vertical Datum,4860322.327,1352277.757,NZGD2000,NZTM,Mud and Sand
MB1,1036,274.502,0.021,100.824,Otago Vertical Datum,4860312.427,1352287.36,NZGD2000,NZTM,Mud and Sand
MB1,1037,286.81,-0.02,100.895,Otago Vertical Datum,4860303.624,1352295.962,NZGD2000,NZTM,Mud and Sand
MB1,1038,298.631,0,100.952,Otago Vertical Datum,4860295.128,1352304.18,NZGD2000,NZTM,Mud and Sand
MB1,1039,313.795,0.021,100.834,Otago Vertical Datum,4860284.232,1352314.727,NZGD2000,NZTM,Mud and Sand
MB1,1040,325.52,-0.015,100.391,Otago Vertical Datum,4860275.843,1352322.919,NZGD2000,NZTM,Mud and Sand
MB1,1041,339.835,-0.019,100.335,Otago Vertical Datum,4860265.574,1352332.892,NZGD2000,NZTM,Mud and Sand
MB1,1042,340.705,0.012,100.807,Otago Vertical Datum,4860264.928,1352333.475,NZGD2000,NZTM,Mud and Sand
MB1,1043,351.215,-0.025,100.884,Otago Vertical Datum,4860257.411,1352340.822,NZGD2000,NZTM,Mud and Sand
MB1,1044,363.86,-0.014,100.852,Otago Vertical Datum,4860248.331,1352349.621,NZGD2000,NZTM,Mud and Sand
MB1,1045,378.233,-0.013,100.816,Otago Vertical Datum,4860238.016,1352359.63,NZGD2000,NZTM,Mud and Sand
MB1,1046,383.87,-0.02,100.912,Otago Vertical Datum,4860233.976,1352363.562,NZGD2000,NZTM,Mud and Sand
MB1,1047,399.063,-0.022,100.892,Otago Vertical Datum,4860223.075,1352374.144,NZGD2000,NZTM,Mud and Sand
MB1,1048,409.717,0,100.831,Otago Vertical Datum,4860215.414,1352381.549,NZGD2000,NZTM,Mud and Sand
MB1,1049,417.855,-0.009,100.89,Otago Vertical Datum,4860209.581,1352387.224,NZGD2000,NZTM,Mud and Sand
MB1,1050,417.911,0.012,100.691,Otago Vertical Datum,4860209.526,1352387.247,NZGD2000,NZTM,Mud and Sand
MB1,1051,428.632,0,100.878,Otago Vertical Datum,4860201.841,1352394.723,NZGD2000,NZTM,Mud and Sand
MB1,1052,439.168,0.004,100.82,Otago Vertical Datum,4860194.278,1352402.058,NZGD2000,NZTM,Mud and Sand
MB1,1053,452.017,0.029,100.904,Otago Vertical Datum,4860185.04,1352410.989,NZGD2000,NZTM,Mud and Sand
MB1,1054,464.73,-0.018,100.871,Otago Vertical Datum,4860175.951,1352419.877,NZGD2000,NZTM,Mud and Sand
MB1,1055,481.245,0.021,100.964,Otago Vertical Datum,4860164.072,1352431.351,NZGD2000,NZTM,Mud and Sand
MB1,1056,492.215,0,100.995,Otago Vertical Datum,4860156.215,1352439.007,NZGD2000,NZTM,Mud and Sand
MB1,1057,496.69,0,100.912,Otago Vertical Datum,4860153.004,1352442.123,NZGD2000,NZTM,Mud and Sand
MB1,1058,498.223,-0.019,100.087,Otago Vertical Datum,4860151.917,1352443.204,NZGD2000,NZTM,Mud and Sand
MB1,1059,512.553,-0.019,99.887,Otago Vertical Datum,4860141.634,1352453.185,NZGD2000,NZTM,Mud and Sand
MB1,1060,512.645,-0.023,100.89,Otago Vertical Datum,4860141.571,1352453.252,NZGD2000,NZTM,Sand
MB1,1061,524,-0.012,101.246,Otago Vertical Datum,4860133.416,1352461.153,NZGD2000,NZTM,Sand
MB1,1062,537.955,-0.029,101.468,Otago Vertical Datum,4860123.413,1352470.885,NZGD2000,NZTM,Sand
MB1,1063,549.478,0.02,101.644,Otago Vertical Datum,4860115.111,1352478.875,NZGD2000,NZTM,Sand
MB1,1064,561.366,-0.02,101.899,Otago Vertical Datum,4860106.608,1352487.182,NZGD2000,NZTM,Sand
MB1,1065,573.261,-0.027,102.261,Otago Vertical Datum,4860098.077,1352495.472,NZGD2000,NZTM,Sand
MB1,1066,585.402,-0.02,102.702,Otago Vertical Datum,4860089.36,1352503.923,NZGD2000,NZTM,Sand
MB1,1067,599.721,0,103.403,Otago Vertical Datum,4860079.071,1352513.882,NZGD2000,NZTM,Sand
MB1,1068,610.563,-0.014,103.744,Otago Vertical Datum,4860071.3,1352521.443,NZGD2000,NZTM,Sand
MB1,1069,617.658,-0.014,103.747,Otago Vertical Datum,4860066.21,1352526.384,NZGD2000,NZTM,Sand
MB1,1070,627.008,0.026,102.95,Otago Vertical Datum,4860059.472,1352532.868,NZGD2000,NZTM,Sand
MB1,1071,635.128,-0.018,102.286,Otago Vertical Datum,4860053.676,1352538.555,NZGD2000,NZTM,Sand
MB1,1072,643.845,-0.023,101.304,Otago Vertical Datum,4860047.424,1352544.63,NZGD2000,NZTM,Sand
MB1,1073,653.819,-0.016,100.183,Otago Vertical Datum,4860040.262,1352551.571,NZGD2000,NZTM,Sand
MB1,1074,660.145,-0.01,99.597,Otago Vertical Datum,4860035.718,1352555.973,NZGD2000,NZTM,Sand
,,,,,,,,,,
MB2,2000,2.052,0.001,100.313,Otago Vertical Datum,4862850.339,1353420.86,NZGD2000,NZTM,Fence
MB2,2001,13.37,0.008,100.411,Otago Vertical Datum,4862842.241,1353428.767,NZGD2000,NZTM,Spot Height
MB2,2002,26.89,0.006,100.407,Otago Vertical Datum,4862832.575,1353438.22,NZGD2000,NZTM,Spot Height
MB2,2003,40.62,0.009,100.391,Otago Vertical Datum,4862822.755,1353447.816,NZGD2000,NZTM,Spot Height
MB2,2004,54.668,-0.001,100.492,Otago Vertical Datum,4862812.717,1353457.644,NZGD2000,NZTM,Spot Height
MB2,2005,68.464,0.003,100.541,Otago Vertical Datum,4862802.85,1353467.285,NZGD2000,NZTM,Spot Height
MB2,2006,71.39,0.01,100.516,Otago Vertical Datum,4862800.753,1353469.326,NZGD2000,NZTM,Fence
MB2,2007,72.218,-0.006,100.465,Otago Vertical Datum,4862800.172,1353469.916,NZGD2000,NZTM,Drain
MB2,2008,72.661,0.018,99.856,Otago Vertical Datum,4862799.838,1353470.209,NZGD2000,NZTM,Drain
MB2,2009,73.037,-0.027,99.832,Otago Vertical Datum,4862799.601,1353470.504,NZGD2000,NZTM,Drain
MB2,2010,73.06,-0.006,100.333,Otago Vertical Datum,4862799.57,1353470.505,NZGD2000,NZTM,Drain
