"X","Y","Z"
1352098.064,4860507.491,206.26
1352100.346,4860505.172,206.26
1352102.834,4860502.599,206.25
1352105.239,4860500.099,206.28
1352107.572,4860497.724,206.3
1352109.825,4860495.346,206.35
1352111.106,4860494.085,206.38
1352118.024,4860486.926,206.35
1352126.423,4860478.305,206.34
1352135.899,4860468.48,206.4
1352137.918,4860466.453,206.1
1352147.588,4860456.515,206.19
1352158.09,4860445.678,205.87
1352167.7,4860435.721,205.39
1352175.51,4860427.706,205.33
1352177.831,4860425.307,205.09
1352180.017,4860423.024,205.06
1352181.4,4860421.58,204.81
1352184.377,4860418.595,206.13
1352185.142,4860417.781,204.86
1352204.532,4860397.769,204.71
1352205.489,4860396.838,204.78
1352208.886,4860393.335,205.04
1352215.564,4860386.405,204.99
1352221.453,4860380.387,205.85
1352227.562,4860374.068,206.43
1352234.88,4860366.499,206.57
1352242.687,4860358.462,206.5
1352249.146,4860351.83,206.39
1352254.787,4860345.998,206.31
1352259.106,4860341.596,206.29
1352266.758,4860333.661,206.22
1352274.549,4860325.678,206.11
1352275.347,4860324.869,206.04
