x,y,z,proj_x,proj_y,,chainage,z
1352098.064,4860507.491,206.26,1352098.06,4860507.4890008895,,0.00,206.26
1352100.346,4860505.172,206.26,1352100.33,4860505.154443393,,3.26,206.26
1352102.834,4860502.599,206.25,1352102.82,4860502.586145816,,6.84,206.25
1352105.239,4860500.099,206.28,1352105.24,4860500.096917857,,10.30,206.28
1352107.572,4860497.724,206.3,1352107.56,4860497.708037018,,13.63,206.3
1352109.825,4860495.346,206.35,1352109.84,4860495.357593686,,16.91,206.35
1352111.106,4860494.085,206.38,1352111.09,4860494.068083196,,18.71,206.38
1352118.024,4860486.926,206.35,1352118.02,4860486.92441591,,28.66,206.35
1352126.423,4860478.305,206.34,1352126.41,4860478.287786679,,40.70,206.34
1352135.899,4860468.48,206.4,1352135.91,4860468.492951211,,54.35,206.4
1352137.918,4860466.453,206.1,1352137.90,4860466.440187519,,57.21,206.1
1352147.588,4860456.515,206.19,1352147.56,4860456.490210899,,71.07,206.19
1352158.09,4860445.678,205.87,1352158.07,4860445.661519609,,86.17,205.87
1352167.7,4860435.721,205.39,1352167.71,4860435.731746463,,100.00,205.39
1352175.51,4860427.706,205.33,1352175.51,4860427.701518751,,111.19,205.33
1352177.831,4860425.307,205.09,1352177.83,4860425.306277526,,114.53,205.09
1352180.017,4860423.024,205.06,1352180.03,4860423.038235277,,117.69,205.06
1352181.4,4860421.58,204.81,1352181.42,4860421.603519846,,119.69,204.81
1352184.377,4860418.595,206.13,1352184.36,4860418.578690089,,123.91,206.13
1352185.142,4860417.781,204.86,1352185.14,4860417.777227452,,125.02,204.86
1352204.532,4860397.769,204.71,1352204.55,4860397.78225825,,152.89,204.71
1352205.489,4860396.838,204.78,1352205.48,4860396.824594396,,154.22,204.78
1352208.886,4860393.335,205.04,1352208.87,4860393.323137204,,159.10,205.04
1352215.564,4860386.405,204.99,1352215.58,4860386.417329822,,168.73,204.99
1352221.453,4860380.387,205.85,1352221.44,4860380.375440429,,177.15,205.85
1352227.562,4860374.068,206.43,1352227.56,4860374.068613532,,185.94,206.43
1352234.88,4860366.499,206.57,1352234.90,4860366.5139241,,196.46,206.57
1352242.687,4860358.462,206.5,1352242.70,4860358.473867813,,207.67,206.5
