X,Y,Z
1352098.064,4860507.491,206.26
1352100.346,4860505.172,206.26
1352102.834,4860502.599,206.25
1352105.239,4860500.099,206.28
1352107.572,4860497.724,206.3
1352109.825,4860495.346,206.35
1352111.106,4860494.085,206.38
1352118.024,4860486.926,206.35
1352126.423,4860478.305,206.34
1352135.899,4860468.48,206.4
1352137.918,4860466.453,206.1
1352147.588,4860456.515,206.19
1352158.09,4860445.678,205.87
1352167.7,4860435.721,205.39
1352175.51,4860427.706,205.33
1352177.831,4860425.307,205.09
1352180.017,4860423.024,205.06
1352181.4,4860421.58,204.81
1352184.377,4860418.595,206.13
1352185.142,4860417.781,204.86
1352204.532,4860397.769,204.71
1352205.489,4860396.838,204.78
1352208.886,4860393.335,205.04
1352215.564,4860386.405,204.99
1352221.453,4860380.387,205.85
1352227.562,4860374.068,206.43
1352234.88,4860366.499,206.57
1352242.687,4860358.462,206.5
1352249.146,4860351.83,206.39
1352254.787,4860345.998,206.31
1352259.106,4860341.596,206.29
1352266.758,4860333.661,206.22
1352274.549,4860325.678,206.11
1352275.347,4860324.869,206.04
1352276.085,4860324.074,
1352277.757,4860322.327,
1352287.36,4860312.427,
1352295.962,4860303.624,
1352304.18,4860295.128,
1352314.727,4860284.232,
1352322.919,4860275.843,
1352332.892,4860265.574,
1352333.475,4860264.928,
1352340.822,4860257.411,
1352349.621,4860248.331,
1352359.63,4860238.016,
1352363.562,4860233.976,
1352374.144,4860223.075,
1352381.549,4860215.414,
1352387.224,4860209.581,
1352387.247,4860209.526,
1352394.723,4860201.841,
1352402.058,4860194.278,
1352410.989,4860185.04,
1352419.877,4860175.951,
1352431.351,4860164.072,
1352439.007,4860156.215,
1352442.123,4860153.004,
1352443.204,4860151.917,
1352453.185,4860141.634,
1352453.252,4860141.571,
1352461.153,4860133.416,
1352470.885,4860123.413,
1352478.875,4860115.111,
1352487.182,4860106.608,
1352495.472,4860098.077,
1352503.923,4860089.36,
1352513.882,4860079.071,
1352521.443,4860071.3,
1352526.384,4860066.21,
1352532.868,4860059.472,
1352538.555,4860053.676,
1352544.63,4860047.424,
1352551.571,4860040.262,
1352555.973,4860035.718,
